,Patient,GSC,Microglia,Endothelial Cells
0,45,0.956,0.044,0.0
1,46,0.9017543859649123,0.09824561403508772,0.0
2,48,0.4015444015444015,0.5752895752895753,0.023166023166023165
3,50,0.7132867132867133,0.24825174825174826,0.038461538461538464
4,51,0.9259259259259259,0.07098765432098765,0.0030864197530864196
5,54,0.8944099378881988,0.10559006211180125,0.0
