DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,DNA SOURCE,GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,PHENOTYPE (required for EGA),Developmental stage,Cell Type,Immunoprecipitate,Organism part,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples)
DN600638E,C8,5953STDY8612917,,,,,,,,,,,,,,,,,,,,,5953STDY8612917
DN600638E,D8,5953STDY8612918,,,,,,,,,,,,,,,,,,,,,5953STDY8612918
DN600638E,E8,5953STDY8612919,,,,,,,,,,,,,,,,,,,,,5953STDY8612919
DN600638E,F8,5953STDY8612920,,,,,,,,,,,,,,,,,,,,,5953STDY8612920
DN600638E,G8,5953STDY8612921,,,,,,,,,,,,,,,,,,,,,5953STDY8612921
DN600638E,H8,5953STDY8612922,,,,,,,,,,,,,,,,,,,,,5953STDY8612922
DN600638E,A9,5953STDY8612923,,,,,,,,,,,,,,,,,,,,,5953STDY8612923
DN600638E,B9,5953STDY8612924,,,,,,,,,,,,,,,,,,,,,5953STDY8612924
DN600638E,C9,5953STDY8612925,,,,,,,,,,,,,,,,,,,,,5953STDY8612925
DN600638E,D9,5953STDY8612926,,,,,,,,,,,,,,,,,,,,,5953STDY8612926
DN600638E,E9,5953STDY8612927,,,,,,,,,,,,,,,,,,,,,5953STDY8612927
DN600638E,F9,5953STDY8612928,,,,,,,,,,,,,,,,,,,,,5953STDY8612928
DN600638E,G9,5953STDY8612929,,,,,,,,,,,,,,,,,,,,,5953STDY8612929
DN600638E,H9,5953STDY8612930,,,,,,,,,,,,,,,,,,,,,5953STDY8612930
DN600638E,A10,5953STDY8612931,,,,,,,,,,,,,,,,,,,,,5953STDY8612931
DN600638E,B10,5953STDY8612932,,,,,,,,,,,,,,,,,,,,,5953STDY8612932
DN600638E,C10,5953STDY8612933,,,,,,,,,,,,,,,,,,,,,5953STDY8612933
DN600638E,D10,5953STDY8612934,,,,,,,,,,,,,,,,,,,,,5953STDY8612934
DN600638E,E10,5953STDY8612935,,,,,,,,,,,,,,,,,,,,,5953STDY8612935
DN600638E,F10,5953STDY8612936,,,,,,,,,,,,,,,,,,,,,5953STDY8612936
DN600638E,G10,5953STDY8612937,,,,,,,,,,,,,,,,,,,,,5953STDY8612937
DN600638E,H10,5953STDY8612938,,,,,,,,,,,,,,,,,,,,,5953STDY8612938
DN600638E,A11,5953STDY8612939,,,,,,,,,,,,,,,,,,,,,5953STDY8612939
DN600638E,B11,5953STDY8612940,,,,,,,,,,,,,,,,,,,,,5953STDY8612940
DN600638E,C11,5953STDY8612941,,,,,,,,,,,,,,,,,,,,,5953STDY8612941
DN600638E,D11,5953STDY8612942,,,,,,,,,,,,,,,,,,,,,5953STDY8612942
DN600638E,E11,5953STDY8612943,,,,,,,,,,,,,,,,,,,,,5953STDY8612943
DN600638E,F11,5953STDY8612944,,,,,,,,,,,,,,,,,,,,,5953STDY8612944
DN600638E,G11,5953STDY8612945,,,,,,,,,,,,,,,,,,,,,5953STDY8612945
DN600638E,H11,5953STDY8612946,,,,,,,,,,,,,,,,,,,,,5953STDY8612946
DN600638E,A12,5953STDY8612947,,,,,,,,,,,,,,,,,,,,,5953STDY8612947
DN600638E,B12,5953STDY8612948,,,,,,,,,,,,,,,,,,,,,5953STDY8612948
DN600638E,C12,5953STDY8612949,,,,,,,,,,,,,,,,,,,,,5953STDY8612949
DN600638E,D12,5953STDY8612950,,,,,,,,,,,,,,,,,,,,,5953STDY8612950
DN600638E,E12,5953STDY8612951,,,,,,,,,,,,,,,,,,,,,5953STDY8612951
DN600638E,F12,5953STDY8612952,,,,,,,,,,,,,,,,,,,,,5953STDY8612952
DN600638E,G12,5953STDY8612953,,,,,,,,,,,,,,,,,,,,,5953STDY8612953
DN600638E,H12,5953STDY8612954,,,,,,,,,,,,,,,,,,,,,5953STDY8612954
DN600639F,A1,5953STDY8612955,,,,,,,,,,,,,,,,,,,,,5953STDY8612955
DN600639F,B1,5953STDY8612956,,,,,,,,,,,,,,,,,,,,,5953STDY8612956
DN600639F,C1,5953STDY8612957,,,,,,,,,,,,,,,,,,,,,5953STDY8612957
DN600639F,D1,5953STDY8612958,,,,,,,,,,,,,,,,,,,,,5953STDY8612958
DN600639F,E1,5953STDY8612959,,,,,,,,,,,,,,,,,,,,,5953STDY8612959
DN600639F,F1,5953STDY8612960,,,,,,,,,,,,,,,,,,,,,5953STDY8612960
DN600639F,G1,5953STDY8612961,,,,,,,,,,,,,,,,,,,,,5953STDY8612961
DN600639F,H1,5953STDY8612962,,,,,,,,,,,,,,,,,,,,,5953STDY8612962
DN600639F,A2,5953STDY8612963,,,,,,,,,,,,,,,,,,,,,5953STDY8612963
DN600639F,B2,5953STDY8612964,,,,,,,,,,,,,,,,,,,,,5953STDY8612964
DN600639F,C2,5953STDY8612965,,,,,,,,,,,,,,,,,,,,,5953STDY8612965
DN600639F,D2,5953STDY8612966,,,,,,,,,,,,,,,,,,,,,5953STDY8612966
DN600639F,E2,5953STDY8612967,,,,,,,,,,,,,,,,,,,,,5953STDY8612967
DN600639F,F2,5953STDY8612968,,,,,,,,,,,,,,,,,,,,,5953STDY8612968
DN600639F,G2,5953STDY8612969,,,,,,,,,,,,,,,,,,,,,5953STDY8612969
DN600639F,H2,5953STDY8612970,,,,,,,,,,,,,,,,,,,,,5953STDY8612970
DN600639F,A3,5953STDY8612971,,,,,,,,,,,,,,,,,,,,,5953STDY8612971
DN600639F,B3,5953STDY8612972,,,,,,,,,,,,,,,,,,,,,5953STDY8612972
DN600639F,C3,5953STDY8612973,,,,,,,,,,,,,,,,,,,,,5953STDY8612973
DN600639F,D3,5953STDY8612974,,,,,,,,,,,,,,,,,,,,,5953STDY8612974
DN600639F,E3,5953STDY8612975,,,,,,,,,,,,,,,,,,,,,5953STDY8612975
DN600639F,F3,5953STDY8612976,,,,,,,,,,,,,,,,,,,,,5953STDY8612976
DN600639F,G3,5953STDY8612977,,,,,,,,,,,,,,,,,,,,,5953STDY8612977
DN600639F,H3,5953STDY8612978,,,,,,,,,,,,,,,,,,,,,5953STDY8612978
DN600639F,A4,5953STDY8612979,,,,,,,,,,,,,,,,,,,,,5953STDY8612979
DN600639F,B4,5953STDY8612980,,,,,,,,,,,,,,,,,,,,,5953STDY8612980
DN600639F,C4,5953STDY8612981,,,,,,,,,,,,,,,,,,,,,5953STDY8612981
DN600639F,D4,5953STDY8612982,,,,,,,,,,,,,,,,,,,,,5953STDY8612982
DN600639F,E4,5953STDY8612983,,,,,,,,,,,,,,,,,,,,,5953STDY8612983
DN600639F,F4,5953STDY8612984,,,,,,,,,,,,,,,,,,,,,5953STDY8612984
DN600639F,G4,5953STDY8612985,,,,,,,,,,,,,,,,,,,,,5953STDY8612985
DN600639F,H4,5953STDY8612986,,,,,,,,,,,,,,,,,,,,,5953STDY8612986
DN600639F,A5,5953STDY8612987,,,,,,,,,,,,,,,,,,,,,5953STDY8612987
DN600639F,B5,5953STDY8612988,,,,,,,,,,,,,,,,,,,,,5953STDY8612988
DN600639F,C5,5953STDY8612989,,,,,,,,,,,,,,,,,,,,,5953STDY8612989
DN600639F,D5,5953STDY8612990,,,,,,,,,,,,,,,,,,,,,5953STDY8612990
DN600639F,E5,5953STDY8612991,,,,,,,,,,,,,,,,,,,,,5953STDY8612991
DN600639F,F5,5953STDY8612992,,,,,,,,,,,,,,,,,,,,,5953STDY8612992
DN600639F,G5,5953STDY8612993,,,,,,,,,,,,,,,,,,,,,5953STDY8612993
DN600639F,H5,5953STDY8612994,,,,,,,,,,,,,,,,,,,,,5953STDY8612994
DN600639F,A6,5953STDY8612995,,,,,,,,,,,,,,,,,,,,,5953STDY8612995
DN600639F,B6,5953STDY8612996,,,,,,,,,,,,,,,,,,,,,5953STDY8612996
DN600639F,C6,5953STDY8612997,,,,,,,,,,,,,,,,,,,,,5953STDY8612997
DN600639F,D6,5953STDY8612998,,,,,,,,,,,,,,,,,,,,,5953STDY8612998
DN600639F,E6,5953STDY8612999,,,,,,,,,,,,,,,,,,,,,5953STDY8612999
DN600639F,F6,5953STDY8613000,,,,,,,,,,,,,,,,,,,,,5953STDY8613000
DN600639F,G6,5953STDY8613001,,,,,,,,,,,,,,,,,,,,,5953STDY8613001
DN600639F,H6,5953STDY8613002,,,,,,,,,,,,,,,,,,,,,5953STDY8613002
DN600639F,A7,5953STDY8613003,,,,,,,,,,,,,,,,,,,,,5953STDY8613003
DN600639F,B7,5953STDY8613004,,,,,,,,,,,,,,,,,,,,,5953STDY8613004
DN600639F,C7,5953STDY8613005,,,,,,,,,,,,,,,,,,,,,5953STDY8613005
DN600639F,D7,5953STDY8613006,,,,,,,,,,,,,,,,,,,,,5953STDY8613006
DN600639F,E7,5953STDY8613007,,,,,,,,,,,,,,,,,,,,,5953STDY8613007
DN600639F,F7,5953STDY8613008,,,,,,,,,,,,,,,,,,,,,5953STDY8613008
DN600639F,G7,5953STDY8613009,,,,,,,,,,,,,,,,,,,,,5953STDY8613009
DN600639F,H7,5953STDY8613010,,,,,,,,,,,,,,,,,,,,,5953STDY8613010
DN600639F,A8,5953STDY8613011,,,,,,,,,,,,,,,,,,,,,5953STDY8613011
DN600639F,B8,5953STDY8613012,,,,,,,,,,,,,,,,,,,,,5953STDY8613012
DN600639F,C8,5953STDY8613013,,,,,,,,,,,,,,,,,,,,,5953STDY8613013
DN600639F,D8,5953STDY8613014,,,,,,,,,,,,,,,,,,,,,5953STDY8613014
DN600639F,E8,5953STDY8613015,,,,,,,,,,,,,,,,,,,,,5953STDY8613015
DN600639F,F8,5953STDY8613016,,,,,,,,,,,,,,,,,,,,,5953STDY8613016
DN600639F,G8,5953STDY8613017,,,,,,,,,,,,,,,,,,,,,5953STDY8613017
