DNA Collections Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study:,5953STDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier:,Sanger Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. Plates Sent:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANGER PLATE ID,WELL,SANGER SAMPLE ID,SUPPLIER SAMPLE NAME,REFERENCE GENOME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for cancer samples),PHENOTYPE (required for EGA)
DN591850D,M3,5953STDY8280255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280255,
DN591850D,N3,5953STDY8280256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280256,
DN591850D,O3,5953STDY8280257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280257,
DN591850D,P3,5953STDY8280258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280258,
DN591850D,A4,5953STDY8280259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280259,
DN591850D,B4,5953STDY8280260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280260,
DN591850D,C4,5953STDY8280261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280261,
DN591850D,D4,5953STDY8280262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280262,
DN591850D,E4,5953STDY8280263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280263,
DN591850D,F4,5953STDY8280264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280264,
DN591850D,G4,5953STDY8280265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280265,
DN591850D,H4,5953STDY8280266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280266,
DN591850D,I4,5953STDY8280267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280267,
DN591850D,J4,5953STDY8280268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280268,
DN591850D,K4,5953STDY8280269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280269,
DN591850D,L4,5953STDY8280270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280270,
DN591850D,M4,5953STDY8280271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280271,
DN591850D,N4,5953STDY8280272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280272,
DN591850D,O4,5953STDY8280273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280273,
DN591850D,P4,5953STDY8280274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280274,
DN591850D,A5,5953STDY8280275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280275,
DN591850D,B5,5953STDY8280276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280276,
DN591850D,C5,5953STDY8280277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280277,
DN591850D,D5,5953STDY8280278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280278,
DN591850D,E5,5953STDY8280279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280279,
DN591850D,F5,5953STDY8280280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280280,
DN591850D,G5,5953STDY8280281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280281,
DN591850D,H5,5953STDY8280282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280282,
DN591850D,I5,5953STDY8280283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280283,
DN591850D,J5,5953STDY8280284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280284,
DN591850D,K5,5953STDY8280285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280285,
DN591850D,L5,5953STDY8280286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280286,
DN591850D,M5,5953STDY8280287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280287,
DN591850D,N5,5953STDY8280288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280288,
DN591850D,O5,5953STDY8280289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280289,
DN591850D,P5,5953STDY8280290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280290,
DN591850D,A6,5953STDY8280291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280291,
DN591850D,B6,5953STDY8280292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280292,
DN591850D,C6,5953STDY8280293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280293,
DN591850D,D6,5953STDY8280294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5953STDY8280294,
